Park,Year,Recreation Visits,Code,CGI_Park
Agate Fossil Beds NM,2024,19395,AGFO,X
Alibates Flint Quarries NM,2024,8558,ALFL,X
Amache NHS,2024,4771,AMCH,X
Amistad NRA,2024,832294,AMIS,X
Badlands NP,2024,1094245,BADL,X
Bent's Old Fort NHS,2024,16102,BEOL,X
Big Bend NP,2024,561458,BIBE,X
Brown v. Board of Education NHP,2024,21919,BRVB,X
Carlsbad Caverns NP,2024,460474,CAVE,X
Capulin Volcano NM,2024,96078,CAVO,X
Chamizal NMEM,2024,6627,CHAM,X
Chickasaw NRA,2024,1670498,CHIC,X
Chiricahua NM,2024,71390,CHIR,X
Coronado NMEM,2024,164426,CORO,X
Devils Tower NM,2024,540890,DETO,X
Fort Bowie NHS,2024,8483,FOBO,X
Fort Davis NHS,2024,42553,FODA,X
Fort Laramie NHS,2024,44045,FOLA,X
Fort Larned NHS,2024,26219,FOLS,X
Fort Scott NHS,2024,24654,FOSC,X
Fort Union NM,2024,9217,FOUN,X
Fort Union Trading Post NHS,2024,12028,FOUS,X
Gila Cliff Dwellings NM,2024,47378,GICL,X
Guadalupe Mountains NP,2024,226134,GUMO,X
Herbert Hoover NHS,2024,148031,HEHO,X
Homestead NHP,2024,52330,HOME,X
Harry S Truman NHS,2024,24102,HSTR,X
Jewel Cave NM,2024,145332,JECA,X
Knife River Indian Villages NHS,2024,10867,KNRI,X
Lake Meredith NRA,2024,1212905,LAMR,X
Little Bighorn Battlefield NM,2024,111825,LIBI,X
Lyndon B. Johnson NHP,2024,119278,LYJO,X
Minuteman Missile NHS,2024,118108,MIMI,X
Missouri NRR,2024,153521,MNRR,X
Montezuma Castle NM,2024,379967,MOCA,X
Mount Rushmore NMEM,2024,1850329,MORU,X
Nez Perce NHP,2024,342924,NEPE,X
Nicodemus NHS,2024,7535,NICO,X
Niobrara NSR,2024,74387,NIOB,X
Palo Alto Battlefield NHP,2024,178946,PAAL,X
Pipestone NM,2024,83033,PIPE,X
Rio Grande W&SR,2024,172,RIGR,X
San Antonio Missions NHP,2024,1278777,SAAN,X
Sand Creek Massacre NHS,2024,6401,SAND,X
Salinas Pueblo Missions NM,2024,38106,SAPU,X
Scotts Bluff NM,2024,183915,SCBL,X
Sunset Crater Volcano NM,2024,73260,SUCR,X
Tallgrass Prairie NPRES,2024,29955,TAPR,X
Theodore Roosevelt NP,2024,732951,THRO,X
Tonto NM,2024,30840,TONT,X
Tumacacori NHP,2024,35256,TUMA,X
Tuzigoot NM,2024,108283,TUZI,X
Washita Battlefield NHS,2024,12369,WABA,X
Walnut Canyon NM,2024,187205,WACA,X
Waco Mammoth NM,2024,111961,WACO,X
White Sands NP,2024,702236,WHSA,X
Wind Cave NP,2024,489399,WICA,X
Abraham Lincoln Birthplace NHP,2024,249166,ABLI,
Acadia NP,2024,3961661,ACAD,
Adams NHP,2024,45656,ADAM,
African Burial Ground NM,2024,36007,AFBG,
Alagnak WR,2024,278,ALAG,
ZZZ_Total,2024,313863358,ALLNPS,
Allegheny Portage Railroad NHS,2024,193903,ALPO,
Andersonville NHS,2024,72925,ANDE,
Aniakchak NM & PRES,2024,191,ANIA,
Andrew Johnson NHS,2024,55270,ANJO,
Antietam NB,2024,197340,ANTI,
Appomattox Court House NHP,2024,83769,APCO,
Apostle Islands NL,2024,253703,APIS,
Arches NP,2024,1466528,ARCH,
Arlington House The R.E. Lee MEM,2024,447641,ARHO,
Arkansas Post NMEM,2024,26203,ARPO,
Assateague Island NS,2024,2282498,ASIS,
Aztec Ruins NM,2024,40019,AZRU,
Bandelier NM,2024,213595,BAND,
Bering Land Bridge NPRES,2024,2642,BELA,
Belmont-Paul Women's Equality NM,2024,7704,BEPA,
Bighorn Canyon NRA,2024,219815,BICA,
Big Cypress NPRES,2024,2216708,BICY,
Big Hole NB,2024,45211,BIHO,
Biscayne NP,2024,512213,BISC,
Big South Fork NRRA,2024,779602,BISO,
Big Thicket NPRES,2024,271823,BITH,
Black Canyon of the Gunnison NP,2024,335862,BLCA,
Blue Ridge PKWY,2024,16733639,BLRI,
Bluestone NSR,2024,7327,BLUE,
Boston African American NHS,2024,393386,BOAF,
Boston Harbor Islands NRA,2024,28157,BOHA,
Boston NHP,2024,2744458,BOST,
Booker T. Washington NM,2024,24209,BOWA,
Bryce Canyon NP,2024,2498075,BRCA,
Buffalo NR,2024,1686348,BUFF,
Buck Island Reef NM,2024,42289,BUIS,
Cabrillo NM,2024,845912,CABR,
Canyon de Chelly NM,2024,387433,CACH,
Castle Clinton NM,2024,3822759,CACL,
Cape Cod NS,2024,3823242,CACO,
Casa Grande Ruins NM,2024,104429,CAGR,
Cape Hatteras NS,2024,2762954,CAHA,
Cape Krusenstern NM,2024,17736,CAKR,
Cape Lookout NS,2024,552786,CALO,
Canaveral NS,2024,1884091,CANA,
Camp Nelson NM,2024,34716,CANE,
Canyonlands NP,2024,818492,CANY,
Capitol Reef NP,2024,1422490,CARE,
Cane River Creole NHP,2024,12592,CARI,
Carl Sandburg Home NHS,2024,113362,CARL,
Castillo de San Marcos NM,2024,579825,CASA,
Catoctin Mountain Park,2024,380681,CATO,
Carter G. Woodson Home NHS,2024,30,CAWO,
Cedar Breaks NM,2024,722834,CEBR,
Cesar E. Chavez NM,2024,26641,CECH,
Chattahoochee River NRA,2024,2940804,CHAT,
Chickamauga & Chattanooga NMP,2024,1003081,CHCH,
Chaco Culture NHP,2024,37840,CHCU,
Channel Islands NP,2024,262581,CHIS,
Chesapeake & Ohio Canal NHP,2024,4421276,CHOH,
Charles Pinckney NHS,2024,30903,CHPI,
Christiansted NHS,2024,124539,CHRI,
Little Rock Central High School NHS,2024,63767,CHSC,
Charles Young Buffalo Soldiers NM,2024,4716,CHYO,
City of Rocks NRES,2024,89949,CIRO,
Clara Barton NHS,2024,13334,CLBA,
Colorado NM,2024,488038,COLM,
Colonial NHP,2024,2551228,COLO,
Congaree NP,2024,242049,CONG,
Cowpens NB,2024,156287,COWP,
Crater Lake NP,2024,504942,CRLA,
